Pipe DN,Pipe Schedule,Flange Class,Outside Diamter (mm),Length1,Length2,Wall Thickness (mm),Lumped Mass,Raised Face Depth,W Neck C (mm),Flange Outer Radius,Flange Thickness D (mm),Raised Face Radius,new_col
50,XS,300,60.3,3736.0,617.0,5.54,0.0001,1.5,69.9,82.55,20.9,45.95,188
50,XS,300,60.3,3405.0,2592.0,5.54,0.0001,1.5,69.9,82.55,20.9,45.95,189
50,XS,300,60.3,3761.0,2445.0,5.54,0.0001,1.5,69.9,82.55,20.9,45.95,190
50,XS,600,60.3,4561.0,1267.0,5.54,0.0001,6.4,73.2,82.55,25.4,45.95,191
50,XS,600,60.3,4029.0,1352.0,5.54,0.0001,6.4,73.2,82.55,25.4,45.95,192
50,XS,600,60.3,2156.0,781.0,5.54,0.0001,6.4,73.2,82.55,25.4,45.95,193
50,XS,600,60.3,4634.0,4867.0,5.54,0.0001,6.4,73.2,82.55,25.4,45.95,194
50,XS,600,60.3,492.0,4940.0,5.54,0.0001,6.4,73.2,82.55,25.4,45.95,195
50,XS,150,60.3,4033.0,3343.0,5.54,17.0,1.5,63.5,76.2,17.6,45.95,196
50,XS,150,60.3,4238.0,1757.0,5.54,17.0,1.5,63.5,76.2,17.6,45.95,197
50,XS,150,60.3,2847.0,3592.0,5.54,17.0,1.5,63.5,76.2,17.6,45.95,198
50,XS,150,60.3,3263.0,4323.0,5.54,17.0,1.5,63.5,76.2,17.6,45.95,199
50,XS,150,60.3,4871.0,3127.0,5.54,17.0,1.5,63.5,76.2,17.6,45.95,200
50,XS,300,60.3,2168.0,3882.0,5.54,30.0,1.5,69.9,82.55,20.9,45.95,201
50,XS,300,60.3,2667.0,4670.0,5.54,30.0,1.5,69.9,82.55,20.9,45.95,202
50,XS,300,60.3,2556.0,3945.0,5.54,30.0,1.5,69.9,82.55,20.9,45.95,203
50,XS,300,60.3,3637.0,4465.0,5.54,30.0,1.5,69.9,82.55,20.9,45.95,204
50,XS,300,60.3,383.0,4744.0,5.54,30.0,1.5,69.9,82.55,20.9,45.95,205
50,XS,600,60.3,599.0,3297.0,5.54,45.0,6.4,73.2,82.55,25.4,45.95,206
50,XS,600,60.3,850.0,2580.0,5.54,45.0,6.4,73.2,82.55,25.4,45.95,207
50,XS,600,60.3,4205.0,2831.0,5.54,45.0,6.4,73.2,82.55,25.4,45.95,208
50,XS,600,60.3,1739.0,2299.0,5.54,45.0,6.4,73.2,82.55,25.4,45.95,209
50,XS,600,60.3,3182.0,694.0,5.54,45.0,6.4,73.2,82.55,25.4,45.95,210
50,XS,150,60.3,2902.0,1053.0,5.54,12.75,1.5,63.5,76.2,17.6,45.95,211
50,XS,150,60.3,4000.0,1218.0,5.54,12.75,1.5,63.5,76.2,17.6,45.95,212
50,XS,150,60.3,4176.0,1397.0,5.54,12.75,1.5,63.5,76.2,17.6,45.95,213
50,XS,150,60.3,4150.0,3767.0,5.54,12.75,1.5,63.5,76.2,17.6,45.95,214
50,XS,150,60.3,565.0,4148.0,5.54,12.75,1.5,63.5,76.2,17.6,45.95,215
50,XS,300,60.3,4485.0,4138.0,5.54,22.5,1.5,69.9,82.55,20.9,45.95,216
50,XS,300,60.3,4773.0,1326.0,5.54,22.5,1.5,69.9,82.55,20.9,45.95,217
50,XS,300,60.3,1339.0,2976.0,5.54,22.5,1.5,69.9,82.55,20.9,45.95,218
50,XS,300,60.3,3942.0,1477.0,5.54,22.5,1.5,69.9,82.55,20.9,45.95,219
50,XS,300,60.3,2251.0,2637.0,5.54,22.5,1.5,69.9,82.55,20.9,45.95,220
50,XS,600,60.3,2479.0,3147.0,5.54,33.75,6.4,73.2,82.55,25.4,45.95,221
50,XS,600,60.3,3503.0,4577.0,5.54,33.75,6.4,73.2,82.55,25.4,45.95,222
50,XS,600,60.3,4684.0,994.0,5.54,33.75,6.4,73.2,82.55,25.4,45.95,223
50,XS,600,60.3,4331.0,444.0,5.54,33.75,6.4,73.2,82.55,25.4,45.95,224
50,XS,600,60.3,4804.0,4875.0,5.54,33.75,6.4,73.2,82.55,25.4,45.95,225
50,XS,150,60.3,3278.0,3168.0,5.54,21.25,1.5,63.5,76.2,17.6,45.95,226
50,XS,150,60.3,613.0,1130.0,5.54,21.25,1.5,63.5,76.2,17.6,45.95,227
50,XS,150,60.3,4396.0,2571.0,5.54,21.25,1.5,63.5,76.2,17.6,45.95,228
50,XS,150,60.3,1996.0,3846.0,5.54,21.25,1.5,63.5,76.2,17.6,45.95,229
50,XS,150,60.3,3305.0,2067.0,5.54,21.25,1.5,63.5,76.2,17.6,45.95,230
50,XS,300,60.3,4565.0,3495.0,5.54,37.5,1.5,69.9,82.55,20.9,45.95,231
50,XS,300,60.3,2683.0,4159.0,5.54,37.5,1.5,69.9,82.55,20.9,45.95,232
50,XS,300,60.3,4338.0,3766.0,5.54,37.5,1.5,69.9,82.55,20.9,45.95,233
50,XS,300,60.3,4985.0,2730.0,5.54,37.5,1.5,69.9,82.55,20.9,45.95,234
50,XS,300,60.3,4993.0,2049.0,5.54,37.5,1.5,69.9,82.55,20.9,45.95,235
50,XS,600,60.3,1693.0,3413.0,5.54,56.25,6.4,73.2,82.55,25.4,45.95,236
50,XS,600,60.3,1489.0,4610.0,5.54,56.25,6.4,73.2,82.55,25.4,45.95,237
50,XS,600,60.3,1324.0,3864.0,5.54,56.25,6.4,73.2,82.55,25.4,45.95,238
50,XS,600,60.3,2493.0,4186.0,5.54,56.25,6.4,73.2,82.55,25.4,45.95,239
50,XS,600,60.3,4420.0,4035.0,5.54,56.25,6.4,73.2,82.55,25.4,45.95,240
50,XXS,150,60.3,2361.0,2648.0,11.07,0.0001,1.5,63.5,76.2,17.6,45.95,241
50,XXS,150,60.3,1314.0,1387.0,11.07,0.0001,1.5,63.5,76.2,17.6,45.95,242
50,XXS,150,60.3,2619.0,3910.0,11.07,0.0001,1.5,63.5,76.2,17.6,45.95,243
50,XXS,150,60.3,4648.0,3559.0,11.07,0.0001,1.5,63.5,76.2,17.6,45.95,244
50,XXS,150,60.3,831.0,3020.0,11.07,0.0001,1.5,63.5,76.2,17.6,45.95,245
50,XXS,300,60.3,2117.0,1030.0,11.07,0.0001,1.5,69.9,82.55,20.9,45.95,246
50,XXS,300,60.3,2174.0,4161.0,11.07,0.0001,1.5,69.9,82.55,20.9,45.95,247
50,XXS,300,60.3,1747.0,2016.0,11.07,0.0001,1.5,69.9,82.55,20.9,45.95,248
50,XXS,300,60.3,558.0,4252.0,11.07,0.0001,1.5,69.9,82.55,20.9,45.95,249
50,XXS,300,60.3,1294.0,2930.0,11.07,0.0001,1.5,69.9,82.55,20.9,45.95,250
50,XXS,600,60.3,4704.0,4594.0,11.07,0.0001,6.4,73.2,82.55,25.4,45.95,251
