Pipe DN,Pipe Schedule,Flange Class,Outside Diamter (mm),Length1,Length2,Wall Thickness (mm),Lumped Mass,Raised Face Depth,W Neck C (mm),Flange Outer Radius,Flange Thickness D (mm),Raised Face Radius,new_col
50,XS,600,60.3,662,2853,5.54,45,6.4,73.2,82.55,25.4,45.95,207
50,XS,600,60.3,1178,914,5.54,45,6.4,73.2,82.55,25.4,45.95,208
50,XS,600,60.3,584,1785,5.54,45,6.4,73.2,82.55,25.4,45.95,209
50,XS,600,60.3,1527,1270,5.54,45,6.4,73.2,82.55,25.4,45.95,210
50,XS,150,60.3,1422,2699,5.54,12.75,1.5,63.5,76.2,17.6,45.95,211
50,XS,150,60.3,368,1964,5.54,12.75,1.5,63.5,76.2,17.6,45.95,212
50,XS,150,60.3,560,2471,5.54,12.75,1.5,63.5,76.2,17.6,45.95,213
50,XS,150,60.3,1466,2476,5.54,12.75,1.5,63.5,76.2,17.6,45.95,214
50,XS,150,60.3,2753,2365,5.54,12.75,1.5,63.5,76.2,17.6,45.95,215
50,XS,300,60.3,743,2189,5.54,22.5,1.5,69.9,82.55,20.9,45.95,216
50,XS,300,60.3,803,2902,5.54,22.5,1.5,69.9,82.55,20.9,45.95,217
50,XS,300,60.3,1317,2679,5.54,22.5,1.5,69.9,82.55,20.9,45.95,218
50,XS,300,60.3,2815,651,5.54,22.5,1.5,69.9,82.55,20.9,45.95,219
50,XS,300,60.3,1746,1049,5.54,22.5,1.5,69.9,82.55,20.9,45.95,220
50,XS,600,60.3,1193,1622,5.54,33.75,6.4,73.2,82.55,25.4,45.95,221
50,XS,600,60.3,1570,2846,5.54,33.75,6.4,73.2,82.55,25.4,45.95,222
50,XS,600,60.3,2988,2402,5.54,33.75,6.4,73.2,82.55,25.4,45.95,223
50,XS,600,60.3,2109,2104,5.54,33.75,6.4,73.2,82.55,25.4,45.95,224
50,XS,600,60.3,2296,1801,5.54,33.75,6.4,73.2,82.55,25.4,45.95,225
50,XS,150,60.3,312,1981,5.54,21.25,1.5,63.5,76.2,17.6,45.95,226
50,XS,150,60.3,1399,1824,5.54,21.25,1.5,63.5,76.2,17.6,45.95,227
50,XS,150,60.3,1674,800,5.54,21.25,1.5,63.5,76.2,17.6,45.95,228
50,XS,150,60.3,1641,2164,5.54,21.25,1.5,63.5,76.2,17.6,45.95,229
50,XS,150,60.3,2854,1390,5.54,21.25,1.5,63.5,76.2,17.6,45.95,230
50,XS,300,60.3,2203,2741,5.54,37.5,1.5,69.9,82.55,20.9,45.95,231
50,XS,300,60.3,1223,623,5.54,37.5,1.5,69.9,82.55,20.9,45.95,232
50,XS,300,60.3,606,1835,5.54,37.5,1.5,69.9,82.55,20.9,45.95,233
50,XS,300,60.3,840,1150,5.54,37.5,1.5,69.9,82.55,20.9,45.95,234
50,XS,300,60.3,1706,980,5.54,37.5,1.5,69.9,82.55,20.9,45.95,235
50,XS,600,60.3,2078,1286,5.54,56.25,6.4,73.2,82.55,25.4,45.95,236
50,XS,600,60.3,2957,1063,5.54,56.25,6.4,73.2,82.55,25.4,45.95,237
50,XS,600,60.3,1946,1655,5.54,56.25,6.4,73.2,82.55,25.4,45.95,238
50,XS,600,60.3,668,1770,5.54,56.25,6.4,73.2,82.55,25.4,45.95,239
50,XS,600,60.3,2048,1554,5.54,56.25,6.4,73.2,82.55,25.4,45.95,240
50,XXS,150,60.3,525,2479,11.07,0.0001,1.5,63.5,76.2,17.6,45.95,241
50,XXS,150,60.3,1706,1965,11.07,0.0001,1.5,63.5,76.2,17.6,45.95,242
50,XXS,150,60.3,2434,1383,11.07,0.0001,1.5,63.5,76.2,17.6,45.95,243
50,XXS,150,60.3,2281,2302,11.07,0.0001,1.5,63.5,76.2,17.6,45.95,244
50,XXS,150,60.3,868,327,11.07,0.0001,1.5,63.5,76.2,17.6,45.95,245
50,XXS,300,60.3,1010,2994,11.07,0.0001,1.5,69.9,82.55,20.9,45.95,246
50,XXS,300,60.3,899,1566,11.07,0.0001,1.5,69.9,82.55,20.9,45.95,247
50,XXS,300,60.3,1763,2866,11.07,0.0001,1.5,69.9,82.55,20.9,45.95,248
50,XXS,300,60.3,1810,1281,11.07,0.0001,1.5,69.9,82.55,20.9,45.95,249
50,XXS,300,60.3,1105,2187,11.07,0.0001,1.5,69.9,82.55,20.9,45.95,250
50,XXS,600,60.3,2250,2952,11.07,0.0001,6.4,73.2,82.55,25.4,45.95,251
50,XXS,600,60.3,2867,1193,11.07,0.0001,6.4,73.2,82.55,25.4,45.95,252
50,XXS,600,60.3,715,799,11.07,0.0001,6.4,73.2,82.55,25.4,45.95,253
50,XXS,600,60.3,1504,1458,11.07,0.0001,6.4,73.2,82.55,25.4,45.95,254
50,XXS,600,60.3,539,2124,11.07,0.0001,6.4,73.2,82.55,25.4,45.95,255
50,XXS,150,60.3,551,439,11.07,17,1.5,63.5,76.2,17.6,45.95,256
50,XXS,150,60.3,2393,2072,11.07,17,1.5,63.5,76.2,17.6,45.95,257
50,XXS,150,60.3,1112,1998,11.07,17,1.5,63.5,76.2,17.6,45.95,258
50,XXS,150,60.3,2463,1733,11.07,17,1.5,63.5,76.2,17.6,45.95,259
50,XXS,150,60.3,951,2859,11.07,17,1.5,63.5,76.2,17.6,45.95,260
