pipe_dn,pipe_schedule,flange_class,outside_diameter,length1,length2,wall_thickness,lumped_mass,raised_face_depth,w_neck_c,flange_outer_radius,flange_thickness_d,raised_face_radius,x_deformation_position,y_deformation_position,z_deformation_position,frequency,support_right,support_left,support,allowable_deformation
80,80,300,88.9,3326.0,4559.0,7.62,42.75,1.5,79.2,107.95,26.9,63.5,-422.23,9.0433,39.621,5.7059,Fixed,Fixed,Fixed_Fixed,10.743
80,80,300,88.9,4469.0,981.0,7.62,42.75,1.5,79.2,107.95,26.9,63.5,1638.8,0.0,-44.45,15.6763,Fixed,Fixed,Fixed_Fixed,67.814
80,80,600,88.9,3404.0,2797.0,7.62,57.0,6.4,82.6,104.8,31.8,63.5,264.63,0.0,-44.45,9.5443,Fixed,Fixed,Fixed_Fixed,5.394
80,80,600,88.9,1531.0,1329.0,7.62,57.0,6.4,82.6,104.8,31.8,63.5,82.6,0.0,-44.45,27.1727,Fixed,Fixed,Fixed_Fixed,1.336
80,80,600,88.9,893.0,3716.0,7.62,57.0,6.4,82.6,104.8,31.8,63.5,-1233.1,9.8911,-43.336,19.9694,Fixed,Fixed,Fixed_Fixed,8.462
80,80,600,88.9,3566.0,1180.0,7.62,57.0,6.4,82.6,104.8,31.8,63.5,1034.7,0.0,-44.45,18.9685,Fixed,Fixed,Fixed_Fixed,7.775
80,80,600,88.9,1659.0,681.0,7.62,57.0,6.4,82.6,104.8,31.8,63.5,339.8,0.0,-44.45,46.4365,Fixed,Fixed,Fixed_Fixed,1.188
80,80,150,88.9,4577.0,4108.0,7.62,36.25,1.5,69.9,95.25,22.4,63.5,166.33,9.8911,43.336,5.0037,Fixed,Fixed,Fixed_Fixed,13.227
80,80,150,88.9,1319.0,2045.0,7.62,36.25,1.5,69.9,95.25,22.4,63.5,-225.08,0.0,-44.45,26.2968,Fixed,Fixed,Fixed_Fixed,1.86
80,80,150,88.9,3792.0,2586.0,7.62,36.25,1.5,69.9,95.25,22.4,63.5,448.97,0.0,44.45,8.8391,Fixed,Fixed,Fixed_Fixed,7.42
80,80,150,88.9,4343.0,2402.0,7.62,36.25,1.5,69.9,95.25,22.4,63.5,737.65,16.806,34.899,8.3817,Fixed,Fixed,Fixed_Fixed,9.246
80,80,150,88.9,2382.0,2246.0,7.62,36.25,1.5,69.9,95.25,22.4,63.5,69.9,0.0,-44.45,14.7269,Fixed,Fixed,Fixed_Fixed,3.605
80,80,300,88.9,549.0,2305.0,7.62,71.25,1.5,79.2,107.95,26.9,63.5,-713.7,0.0,-44.45,43.5428,Fixed,Fixed,Fixed_Fixed,1.843
80,80,300,88.9,3640.0,2404.0,7.62,71.25,1.5,79.2,107.95,26.9,63.5,442.14,0.0,44.45,8.1009,Fixed,Fixed,Fixed_Fixed,7.419
80,80,300,88.9,1234.0,672.0,7.62,71.25,1.5,79.2,107.95,26.9,63.5,194.06,0.0,-44.45,54.3679,Fixed,Fixed,Fixed_Fixed,0.573
80,80,300,88.9,938.0,4749.0,7.62,71.25,1.5,79.2,107.95,26.9,63.5,-1786.6,9.0433,-39.621,14.2293,Fixed,Fixed,Fixed_Fixed,49.446
80,80,300,88.9,2782.0,2662.0,7.62,71.25,1.5,79.2,107.95,26.9,63.5,79.2,0.0,44.45,9.165,Fixed,Fixed,Fixed_Fixed,5.658
80,80,600,88.9,3349.0,3183.0,7.62,95.0,6.4,82.6,104.8,31.8,63.5,82.6,0.0,-44.45,6.1551,Fixed,Fixed,Fixed_Fixed,6.664
80,80,600,88.9,1840.0,1846.0,7.62,95.0,6.4,82.6,104.8,31.8,63.5,82.6,0.0,-44.45,15.2805,Fixed,Fixed,Fixed_Fixed,2.101
80,80,600,88.9,3121.0,4898.0,7.62,95.0,6.4,82.6,104.8,31.8,63.5,-605.34,9.8911,43.336,4.6631,Fixed,Fixed,Fixed_Fixed,10.328
80,80,600,88.9,892.0,1067.0,7.62,95.0,6.4,82.6,104.8,31.8,63.5,38.2,0.0,-104.8,40.104,Fixed,Fixed,Fixed_Fixed,0.616
